disorder_id,orpha_code,disorder_name,gene_symbol,gene_name,gene_type,gene_locus,association_type,association_status,source_of_validation
3768,389,Langerhans cell histiocytosis,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",gene with protein product,7q34,Disease-causing somatic mutation(s) in,Assessed,22996177[PMID]
19064,228012,Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome,MYO6,myosin VI,gene with protein product,6q14.1,Disease-causing germline mutation(s) in,Assessed,15060111[PMID]
3747,543,Burkitt lymphoma,MYC,"MYC proto-oncogene, bHLH transcription factor",gene with protein product,8q24.21,Part of a fusion gene in,Assessed,
3759,319,Skeletal Ewing sarcoma,ERG,ETS transcription factor ERG,gene with protein product,21q22.2,Part of a fusion gene in,Assessed,
3759,319,Skeletal Ewing sarcoma,ETV1,ETS variant transcription factor 1,gene with protein product,7p21.2,Part of a fusion gene in,Assessed,
3759,319,Skeletal Ewing sarcoma,EWSR1,EWS RNA binding protein 1,gene with protein product,22q12.2,Part of a fusion gene in,Assessed,
3759,319,Skeletal Ewing sarcoma,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",gene with protein product,11q24.3,Part of a fusion gene in,Assessed,
3759,319,Skeletal Ewing sarcoma,ETV4,ETS variant transcription factor 4,gene with protein product,17q21.31,Part of a fusion gene in,Assessed,
19054,227535,Hereditary breast cancer,NQO2,N-ribosyldihydronicotinamide:quinone dehydrogenase 2,gene with protein product,6p25.2,Major susceptibility factor in,Assessed,18996184[PMID]
19054,227535,Hereditary breast cancer,ATM,ATM serine/threonine kinase,gene with protein product,11q22.3,Major susceptibility factor in,Assessed,33471991[PMID]
19054,227535,Hereditary breast cancer,CDH1,cadherin 1,gene with protein product,16q22.1,Candidate gene tested in,Not yet assessed,32322110[PMID]
19054,227535,Hereditary breast cancer,BRCA1,BRCA1 DNA repair associated,gene with protein product,17q21.31,Major susceptibility factor in,Assessed,9609997[PMID]_10323242[PMID]_12442275[PMID]
19054,227535,Hereditary breast cancer,BRCA2,BRCA2 DNA repair associated,gene with protein product,13q13.1,Major susceptibility factor in,Assessed,9609997[PMID]_10323242[PMID]_12442275[PMID]
19054,227535,Hereditary breast cancer,PALB2,partner and localizer of BRCA2,gene with protein product,16p12.2,Major susceptibility factor in,Assessed,25099575[PMID]
19054,227535,Hereditary breast cancer,XRCC2,X-ray repair cross complementing 2,gene with protein product,7q36.1,Major susceptibility factor in,Assessed,22464251[PMID]
19054,227535,Hereditary breast cancer,KLLN,"killin, p53 regulated DNA replication inhibitor",gene with protein product,10q23,Major susceptibility factor in,Assessed,23450725[PMID]
19054,227535,Hereditary breast cancer,RAD54L,RAD54 like,gene with protein product,1p34.1,Candidate gene tested in,Not yet assessed,
19054,227535,Hereditary breast cancer,SLC67A1,solute carrier family 67 member 1,gene with protein product,11p15.4,Candidate gene tested in,Not yet assessed,
3758,668,Osteosarcoma,CHEK2,checkpoint kinase 2,gene with protein product,22q12.1,Candidate gene tested in,Not yet assessed,11746983[PMID]
3758,668,Osteosarcoma,RB1,RB transcriptional corepressor 1,gene with protein product,13q14.2,Candidate gene tested in,Assessed,11449317[PMID]
3758,668,Osteosarcoma,TP53,tumor protein p53,gene with protein product,17p13.1,Disease-causing somatic mutation(s) in,Assessed,8401536[PMID]_2823272[PMID]
3758,668,Osteosarcoma,TP53,tumor protein p53,gene with protein product,17p13.1,Disease-causing germline mutation(s) in,Assessed,2823272[PMID]_1349175[PMID]_8401536[PMID]
19053,227510,"Multiple system atrophy, cerebellar type",COQ2,"coenzyme Q2, polyprenyltransferase",gene with protein product,4q21.23,Major susceptibility factor in,Assessed,23758206[PMID]
3734,2030,Fibrosarcoma,ETV6,ETS variant transcription factor 6,gene with protein product,12p13.2,Part of a fusion gene in,Assessed,
3734,2030,Fibrosarcoma,NTRK3,neurotrophic receptor tyrosine kinase 3,gene with protein product,15q25.3,Part of a fusion gene in,Assessed,
3735,2126,Solitary fibrous tumor,STAT6,signal transducer and activator of transcription 6,gene with protein product,12q13.3,Part of a fusion gene in,Assessed,23313952[PMID]_23313954[PMID]
3735,2126,Solitary fibrous tumor,NAB2,NGFI-A binding protein 2,gene with protein product,12q13.3,Part of a fusion gene in,Assessed,23313952[PMID]_23313954[PMID]
3728,758,Pseudoxanthoma elasticum,ABCC6,ATP binding cassette subfamily C member 6,gene with protein product,16p13.11,Disease-causing germline mutation(s) (loss of function) in,Assessed,20032990[PMID]_20301292[PMID]
3728,758,Pseudoxanthoma elasticum,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,gene with protein product,6q23.2,Disease-causing germline mutation(s) in,Assessed,25615550[PMID]
3729,419,Hyperprolinemia type 1,PRODH,proline dehydrogenase 1,gene with protein product,22q11.21,Disease-causing germline mutation(s) in,Assessed,20524212[PMID]_23462603[PMID]
3731,1501,Adrenocortical carcinoma,TP53,tumor protein p53,gene with protein product,17p13.1,Disease-causing germline mutation(s) in,Assessed,11600572[PMID]
3731,1501,Adrenocortical carcinoma,TP53,tumor protein p53,gene with protein product,17p13.1,Disease-causing somatic mutation(s) in,Assessed,25490274[PMID]
3731,1501,Adrenocortical carcinoma,ZNRF3,zinc and ring finger 3,gene with protein product,22q12.1,Disease-causing somatic mutation(s) in,Assessed,24747642[PMID]
3731,1501,Adrenocortical carcinoma,CTNNB1,catenin beta 1,gene with protein product,3p22.1,Disease-causing somatic mutation(s) in,Assessed,24747642[PMID]
3731,1501,Adrenocortical carcinoma,CDKN2A,cyclin dependent kinase inhibitor 2A,gene with protein product,9p21.3,Disease-causing somatic mutation(s) in,Assessed,25490274[PMID]
3731,1501,Adrenocortical carcinoma,TERT,telomerase reverse transcriptase,gene with protein product,5p15.33,Disease-causing somatic mutation(s) in,Assessed,25490274[PMID]
3731,1501,Adrenocortical carcinoma,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,gene with protein product,17q24.2,Disease-causing somatic mutation(s) in,Assessed,31147626[PMID]
19036,226316,Genetic transient congenital hypothyroidism,DUOX2,dual oxidase 2,gene with protein product,15q21.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,25248169[PMID]
19033,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,POU1F1,POU class 1 homeobox 1,gene with protein product,3p11.2,Disease-causing germline mutation(s) in,Assessed,20537182[PMID]_22851492[PMID]
19033,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,PROP1,PROP paired-like homeobox 1,gene with protein product,5q35.3,Disease-causing germline mutation(s) in,Assessed,20537182[PMID]_22851492[PMID]
19033,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,HESX1,HESX homeobox 1,gene with protein product,3p14.3,Disease-causing germline mutation(s) in,Assessed,20537182[PMID]_22851492[PMID]
19033,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,LHX3,LIM homeobox 3,gene with protein product,9q34.3,Disease-causing germline mutation(s) in,Assessed,20537182[PMID]_22851492[PMID]
19033,226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,LHX4,LIM homeobox 4,gene with protein product,1q25.2,Disease-causing germline mutation(s) in,Assessed,20537182[PMID]_22851492[PMID]
3738,3273,Synovial sarcoma,SS18,SS18 subunit of BAF chromatin remodeling complex,gene with protein product,18q11.2,Part of a fusion gene in,Assessed,
3738,3273,Synovial sarcoma,SSX1,SSX family member 1,gene with protein product,Xp11.23,Part of a fusion gene in,Assessed,
3738,3273,Synovial sarcoma,SSX2,SSX family member 2,gene with protein product,Xp11.22,Part of a fusion gene in,Assessed,
3716,503,Larsen syndrome,FLNB,filamin B,gene with protein product,3p14.3,Disease-causing germline mutation(s) in,Assessed,
3715,2478,Megalencephalic leukoencephalopathy with subcortical cysts,MLC1,modulator of VRAC current 1,gene with protein product,22q13.33,Disease-causing germline mutation(s) in,Assessed,20301707[PMID]
3715,2478,Megalencephalic leukoencephalopathy with subcortical cysts,HEPACAM,hepatic and glial cell adhesion molecule,gene with protein product,11q24.2,Disease-causing germline mutation(s) in,Assessed,20301707[PMID]
3727,3337,Primary Fanconi renotubular syndrome,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,gene with protein product,3q27.2,Disease-causing germline mutation(s) in,Assessed,24401050[PMID]
3727,3337,Primary Fanconi renotubular syndrome,GATM,glycine amidinotransferase,gene with protein product,15q21.1,Disease-causing germline mutation(s) in,Assessed,29654216[PMID]
3727,3337,Primary Fanconi renotubular syndrome,SLC34A1,solute carrier family 34 member 1,gene with protein product,5q35.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,20335586[PMID]
3727,3337,Primary Fanconi renotubular syndrome,NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6,gene with protein product,8q22.1,Disease-causing germline mutation(s) in,Assessed,27466185[PMID]
3726,223,Arginine vasopressin resistance,AVPR2,arginine vasopressin receptor 2,gene with protein product,Xq28,Disease-causing germline mutation(s) in,Assessed,20301356[PMID]
3726,223,Arginine vasopressin resistance,AQP2,aquaporin 2,gene with protein product,12q13.12,Disease-causing germline mutation(s) in,Assessed,20301356[PMID]
19131,228423,GATA2 deficiency spectrum,GATA2,GATA binding protein 2,gene with protein product,3q21.3,Disease-causing germline mutation(s) in,Assessed,21765025[PMID]_21670465[PMID]
3705,521,Chronic myeloid leukemia,BCR,BCR activator of RhoGEF and GTPase,gene with protein product,22q11.23,Part of a fusion gene in,Assessed,
3705,521,Chronic myeloid leukemia,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",gene with protein product,9q34.12,Part of a fusion gene in,Assessed,
3705,521,Chronic myeloid leukemia,RUNX1,RUNX family transcription factor 1,gene with protein product,21q22.12,Biomarker tested in,Assessed,22318203[PMID]
19128,228415,5q35 microduplication syndrome,NSD1,nuclear receptor binding SET domain protein 1,gene with protein product,5q35.3,Role in the phenotype of,Assessed,24819041[PMID]
3704,132,Hereditary butyrylcholinesterase deficiency,BCHE,butyrylcholinesterase,gene with protein product,3q26.1,Disease-causing germline mutation(s) in,Assessed,25054547[PMID]_25448037[PMID]
19132,228426,Syndromic multisystem autoimmune disease due to Itch deficiency,ITCH,itchy E3 ubiquitin protein ligase,gene with protein product,20q11.22,Disease-causing germline mutation(s) in,Assessed,20170897[PMID]
3709,2345,Isolated Klippel-Feil syndrome,GDF3,growth differentiation factor 3,gene with protein product,12p13.31,Disease-causing germline mutation(s) in,Assessed,19864492[PMID]
3709,2345,Isolated Klippel-Feil syndrome,MEOX1,mesenchyme homeobox 1,gene with protein product,17q21.31,Disease-causing germline mutation(s) in,Assessed,23290072[PMID]
3709,2345,Isolated Klippel-Feil syndrome,GDF6,growth differentiation factor 6,gene with protein product,8q22.1,Disease-causing germline mutation(s) in,Assessed,18425797[PMID]
3708,1333,Familial pancreatic carcinoma,BRCA1,BRCA1 DNA repair associated,gene with protein product,17q21.31,Major susceptibility factor in,Assessed,18855126[PMID]
3708,1333,Familial pancreatic carcinoma,BRCA2,BRCA2 DNA repair associated,gene with protein product,13q13.1,Major susceptibility factor in,Assessed,12569143[PMID]
3708,1333,Familial pancreatic carcinoma,CDKN2A,cyclin dependent kinase inhibitor 2A,gene with protein product,9p21.3,Major susceptibility factor in,Assessed,25240578[PMID]
3708,1333,Familial pancreatic carcinoma,SMAD4,SMAD family member 4,gene with protein product,18q21.2,Major susceptibility factor in,Assessed,25240578[PMID]
3708,1333,Familial pancreatic carcinoma,TP53,tumor protein p53,gene with protein product,17p13.1,Major susceptibility factor in,Assessed,25240578[PMID]
3708,1333,Familial pancreatic carcinoma,KRAS,"KRAS proto-oncogene, GTPase",gene with protein product,12p12.1,Major susceptibility factor in,Assessed,25240578[PMID]
3708,1333,Familial pancreatic carcinoma,PALB2,partner and localizer of BRCA2,gene with protein product,16p12.2,Major susceptibility factor in,Assessed,20412113[PMID]_21365267[PMID]
3708,1333,Familial pancreatic carcinoma,PALLD,"palladin, cytoskeletal associated protein",gene with protein product,4q32.3,Major susceptibility factor in,Assessed,17194196[PMID]
3708,1333,Familial pancreatic carcinoma,RABL3,"RAB, member of RAS oncogene family like 3",gene with protein product,3q13.33,Disease-causing germline mutation(s) in,Assessed,31406347[PMID]
19133,228429,Congenital generalized  lipodystrophy type 4,CAVIN1,caveolae associated protein 1,gene with protein product,17q21.2,Disease-causing germline mutation(s) in,Assessed,20684003[PMID]_27894728[PMID]
19120,228387,Spondylo-megaepiphyseal-metaphyseal dysplasia,NKX3-2,NK3 homeobox 2,gene with protein product,4p15.33,Disease-causing germline mutation(s) in,Assessed,20004766[PMID]
19121,228390,Frontonasal dysplasia-alopecia-genital anomalies syndrome,ALX4,ALX homeobox 4,gene with protein product,11p11.2,Disease-causing germline mutation(s) in,Assessed,23401352[PMID]
19125,228402,2q23.1 microdeletion syndrome,MBD5,methyl-CpG binding domain protein 5,gene with protein product,2q23.1,Role in the phenotype of,Assessed,19809484[PMID]
19115,228366,CLN7 disease,MFSD8,major facilitator superfamily domain containing 8,gene with protein product,4q28.2,Disease-causing germline mutation(s) in,Assessed,34733232[PMID]_27238410[PMID]
19113,228360,CLN5 disease,CLN5,CLN5 intracellular trafficking protein,gene with protein product,13q22.3,Disease-causing germline mutation(s) in,Assessed,2412666[PMID]_34733232[PMID]_34684815[PMID]
19119,228384,5q14.3 microdeletion syndrome,MEF2C,myocyte enhancer factor 2C,gene with protein product,5q14.3,Role in the phenotype of,Assessed,20513142[PMID]
19117,228374,Charcot-Marie-Tooth disease type 2B5,NEFL,neurofilament light chain,gene with protein product,8p21.2,Disease-causing germline mutation(s) in,Assessed,20039262[PMID]
19108,228343,CLN4 disease,DNAJC5,DnaJ heat shock protein family (Hsp40) member C5,gene with protein product,20q13.33,Disease-causing germline mutation(s) in,Assessed,27629553[PMID]
19099,228302,"Carnitine palmitoyl transferase II deficiency, myopathic form",CPT2,carnitine palmitoyltransferase 2,gene with protein product,1p32.3,Disease-causing germline mutation(s) in,Assessed,
19100,228305,"Carnitine palmitoyl transferase II deficiency, severe infantile form",CPT2,carnitine palmitoyltransferase 2,gene with protein product,1p32.3,Disease-causing germline mutation(s) in,Assessed,
19101,228308,"Carnitine palmitoyl transferase II deficiency, neonatal form",CPT2,carnitine palmitoyltransferase 2,gene with protein product,1p32.3,Disease-causing germline mutation(s) in,Assessed,
3656,3203,Overhydrated hereditary stomatocytosis,RHAG,Rh associated glycoprotein,gene with protein product,6p12.3,Disease-causing germline mutation(s) in,Assessed,23664421[PMID]
3657,3202,Dehydrated hereditary stomatocytosis,SLC4A1,solute carrier family 4 member 1 (Diego blood group),gene with protein product,17q21.31,Disease-causing germline mutation(s) in,Assessed,16227998[PMID]
3657,3202,Dehydrated hereditary stomatocytosis,PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group),gene with protein product,16q24.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,22529292[PMID]_23695678[PMID]
3657,3202,Dehydrated hereditary stomatocytosis,KCNN4,potassium calcium-activated channel subfamily N member 4,gene with protein product,19q13.31,Disease-causing germline mutation(s) in,Assessed,26148990[PMID]_26198474[PMID]
19072,228140,Idiopathic ventricular fibrillation,SCN5A,sodium voltage-gated channel alpha subunit 5,gene with protein product,3p22.2,Disease-causing germline mutation(s) in,Assessed,10940383[PMID]
19072,228140,Idiopathic ventricular fibrillation,DPP6,dipeptidyl peptidase like 6,gene with protein product,7q36.2,Disease-causing germline mutation(s) in,Assessed,19285295[PMID]_21512816[PMID]
3650,1018,X-linked Alport syndrome-diffuse leiomyomatosis,COL4A6,collagen type IV alpha 6 chain,gene with protein product,Xq22.3,Role in the phenotype of,Assessed,20951201[PMID]
3650,1018,X-linked Alport syndrome-diffuse leiomyomatosis,COL4A5,collagen type IV alpha 5 chain,gene with protein product,Xq22.3,Role in the phenotype of,Assessed,20951201[PMID]
3651,306,Self-limited infantile epilepsy,SCN8A,sodium voltage-gated channel alpha subunit 8,gene with protein product,12q13.13,Disease-causing germline mutation(s) (gain of function) in,Assessed,26677014[PMID]
3651,306,Self-limited infantile epilepsy,SCN2A,sodium voltage-gated channel alpha subunit 2,gene with protein product,2q24.3,Disease-causing germline mutation(s) in,Assessed,23360469[PMID]
3651,306,Self-limited infantile epilepsy,KCNQ2,potassium voltage-gated channel subfamily Q member 2,gene with protein product,20q13.33,Disease-causing germline mutation(s) in,Assessed,
3651,306,Self-limited infantile epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3,gene with protein product,8q24.22,Disease-causing germline mutation(s) in,Assessed,23360469[PMID]
3651,306,Self-limited infantile epilepsy,PRRT2,proline rich transmembrane protein 2,gene with protein product,16p11.2,Disease-causing germline mutation(s) in,Assessed,22243967[PMID]_22399141[PMID]_22623405[PMID]
3652,328,Congenital factor X deficiency,F10,coagulation factor X,gene with protein product,13q34,Disease-causing germline mutation(s) in,Assessed,15892863[PMID]_26222694[PMID]_26309706[PMID]
19077,228174,Autosomal dominant Charcot-Marie-Tooth disease type 2N,AARS1,alanyl-tRNA synthetase 1,gene with protein product,16q22.1,Disease-causing germline mutation(s) in,Assessed,20301462[PMID]
19076,228169,Autosomal dominant striatal neurodegeneration,PDE8B,phosphodiesterase 8B,gene with protein product,5q13.3,Disease-causing germline mutation(s) in,Assessed,20085714[PMID]
3653,2132,Hemoglobin C disease,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
3654,2133,Hemoglobin E disease,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
19078,228179,Autosomal dominant Charcot-Marie-Tooth disease type 2M,DNM2,dynamin 2,gene with protein product,19p13.2,Disease-causing germline mutation(s) in,Assessed,18394888[PMID]_17636067[PMID]
3655,288,Hereditary elliptocytosis,SPTA1,"spectrin alpha, erythrocytic 1",gene with protein product,1q23.1,Disease-causing germline mutation(s) in,Assessed,23664421[PMID]
3655,288,Hereditary elliptocytosis,SPTB,"spectrin beta, erythrocytic",gene with protein product,14q23.3,Disease-causing germline mutation(s) in,Assessed,23664421[PMID]
3655,288,Hereditary elliptocytosis,EPB41,erythrocyte membrane protein band 4.1,gene with protein product,1p35.3,Disease-causing germline mutation(s) in,Assessed,23664421[PMID]
3655,288,Hereditary elliptocytosis,GYPC,glycophorin C (Gerbich blood group),gene with protein product,2q14.3,Disease-causing germline mutation(s) in,Assessed,1884026[PMID]_8353290[PMID]
19198,231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,DTNBP1,dystrobrevin binding protein 1,gene with protein product,6p22.3,Disease-causing germline mutation(s) in,Assessed,12923531[PMID]
19198,231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5,gene with protein product,6p24.3,Disease-causing germline mutation(s) in,Assessed,16420244[PMID]_27514596[PMID]_20301464[PMID]
19198,231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S3,biogenesis of lysosomal organelles complex 1 subunit 3,gene with protein product,19q13.32,Disease-causing germline mutation(s) in,Assessed,16420244[PMID]_27514596[PMID]_20301464[PMID]
19198,231531,Hermansky-Pudlak syndrome due to BLOC-1 deficiency,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6,gene with protein product,15q21.1,Disease-causing germline mutation(s) in,Assessed,16420244[PMID]_27514596[PMID]_20301464[PMID]
19196,231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1,gene with protein product,3q24,Disease-causing germline mutation(s) in,Assessed,
19196,231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2,gene with protein product,11p15.1,Disease-causing germline mutation(s) in,Assessed,
19196,231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency,HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3,gene with protein product,10q24.32,Disease-causing germline mutation(s) in,Assessed,
3643,256,Early-onset generalized limb-onset dystonia,TOR1A,torsin family 1 member A,gene with protein product,9q34.11,Disease-causing germline mutation(s) in,Assessed,20301665[PMID]
3643,256,Early-onset generalized limb-onset dystonia,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,gene with protein product,2p22.2,Disease-causing germline mutation(s) in,Assessed,33236446[PMID]
3643,256,Early-onset generalized limb-onset dystonia,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor",gene with protein product,3p13,Disease-causing germline mutation(s) in,Assessed,34542157[PMID]
19195,231500,Hermansky-Pudlak syndrome due to BLOC-3 deficiency,HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1,gene with protein product,10q24.2,Disease-causing germline mutation(s) in,Assessed,
19195,231500,Hermansky-Pudlak syndrome due to BLOC-3 deficiency,HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2,gene with protein product,22q12.1,Disease-causing germline mutation(s) in,Assessed,
3637,2073,Narcolepsy type 1,HCRT,hypocretin neuropeptide precursor,gene with protein product,17q21.2,Major susceptibility factor in,Assessed,10973318[PMID]_23643651[PMID]
3637,2073,Narcolepsy type 1,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",gene with protein product,6p21.32,Major susceptibility factor in,Assessed,18706091[PMID]_19410508[PMID]
3637,2073,Narcolepsy type 1,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",gene with protein product,6p21.32,Major susceptibility factor in,Assessed,18706091[PMID]
3637,2073,Narcolepsy type 1,MOG,myelin oligodendrocyte glycoprotein,gene with protein product,6p22.1,Major susceptibility factor in,Assessed,21907016[PMID]
3637,2073,Narcolepsy type 1,TNFSF4,TNF superfamily member 4,gene with protein product,1q25.1,Major susceptibility factor in,Assessed,23459209[PMID]
3637,2073,Narcolepsy type 1,P2RY11,purinergic receptor P2Y11,gene with protein product,19p13.2,Major susceptibility factor in,Assessed,24204295[PMID]
3637,2073,Narcolepsy type 1,ZNF365,zinc finger protein 365,gene with protein product,10q21.2,Major susceptibility factor in,Assessed,24204295[PMID]
3637,2073,Narcolepsy type 1,CTSH,cathepsin H,gene with protein product,15q25.1,Major susceptibility factor in,Assessed,23459209[PMID]
19184,231401,Alpha-thalassemia-myelodysplastic syndrome,ATRX,ATRX chromatin remodeler,gene with protein product,Xq21.1,Disease-causing somatic mutation(s) in,Assessed,
19182,231393,Beta-thalassemia-X-linked thrombocytopenia syndrome,GATA1,GATA binding protein 1,gene with protein product,Xp11.23,Disease-causing germline mutation(s) in,Assessed,20301538[PMID]
3626,1309,Medullary sponge kidney,HNF1B,HNF1 homeobox B,gene with protein product,17q12,Disease-causing germline mutation(s) in,Assessed,33305128[PMID]
19177,231249,Hemoglobin E-beta-thalassemia syndrome,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
19176,231242,Hemoglobin C-beta-thalassemia syndrome,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
3625,2197,Idiopathic hypercalciuria,ADCY10,adenylate cyclase 10,gene with protein product,1q24.2,Major susceptibility factor in,Assessed,11932268[PMID]
19175,231237,Delta-beta-thalassemia,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,18932066[PMID]
19175,231237,Delta-beta-thalassemia,HBG1,hemoglobin subunit gamma 1,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,18932066[PMID]
19175,231237,Delta-beta-thalassemia,HBD,hemoglobin subunit delta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,1301204[PMID]
19173,231226,Dominant beta-thalassemia,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
19172,231222,Beta-thalassemia intermedia,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
19171,231214,Beta-thalassemia major,HBB,hemoglobin subunit beta,gene with protein product,11p15.4,Disease-causing germline mutation(s) in,Assessed,21886666[PMID]
3619,2841,Hailey-Hailey disease,ATP2C1,ATPase secretory pathway Ca2+ transporting 1,gene with protein product,3q22.1,Disease-causing germline mutation(s) in,Assessed,10615129[PMID]
19169,231183,Usher syndrome type 3,CEP78,centrosomal protein 78,gene with protein product,9q21.2,Disease-causing germline mutation(s) in,Assessed,27627988[PMID]
19169,231183,Usher syndrome type 3,ARSG,arylsulfatase G,gene with protein product,17q24.2,Disease-causing germline mutation(s) in,Assessed,29300381[PMID]
19169,231183,Usher syndrome type 3,CLRN1,clarin 1,gene with protein product,3q25.1,Disease-causing germline mutation(s) in,Assessed,19753315[PMID]
19169,231183,Usher syndrome type 3,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Not yet assessed,
19169,231183,Usher syndrome type 3,HARS1,histidyl-tRNA synthetase 1,gene with protein product,5q31.3,Disease-causing germline mutation(s) in,Assessed,22279524[PMID]
3616,347,Frasier syndrome,WT1,WT1 transcription factor,gene with protein product,11p13,Disease-causing germline mutation(s) in,Assessed,25623218[PMID]
19168,231178,Usher syndrome type 2,USH2A,usherin,gene with protein product,1q41,Disease-causing germline mutation(s) in,Assessed,20301515[PMID]
19168,231178,Usher syndrome type 2,ADGRV1,adhesion G protein-coupled receptor V1,gene with protein product,5q14.3,Disease-causing germline mutation(s) in,Assessed,20301515[PMID]
19168,231178,Usher syndrome type 2,MYO7A,myosin VIIA,gene with protein product,11q13.5,Disease-causing germline mutation(s) in,Assessed,24831256[PMID]
19168,231178,Usher syndrome type 2,WHRN,whirlin,gene with protein product,9q32,Disease-causing germline mutation(s) in,Assessed,20301515[PMID]
19168,231178,Usher syndrome type 2,PDZD7,PDZ domain containing 7,gene with protein product,10q24.31,Modifying germline mutation in,Assessed,20440071[PMID]
3612,2596,Myopathy and diabetes mellitus,MT-TE,mitochondrially encoded tRNA-Glu (GAA/G),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,15048886[PMID]
19165,231154,Combined immunodeficiency due to partial RAG1 deficiency,RAG1,recombination activating 1,gene with protein product,11p12,Disease-causing germline mutation(s) in,Assessed,
3615,2966,Properdin deficiency,CFP,complement factor properdin,gene with protein product,Xp11.23,Disease-causing germline mutation(s) in,Assessed,8871668[PMID]
19166,231160,Familial cerebral saccular aneurysm,ANGPTL6,angiopoietin like 6,gene with protein product,19p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,29304371[PMID]
19166,231160,Familial cerebral saccular aneurysm,COL3A1,collagen type III alpha 1 chain,gene with protein product,2q32.2,Candidate gene tested in,Not yet assessed,22241462[PMID]
19166,231160,Familial cerebral saccular aneurysm,ENG,endoglin,gene with protein product,9q34.11,Major susceptibility factor in,Assessed,19299629[PMID]
19166,231160,Familial cerebral saccular aneurysm,TGFBR3,transforming growth factor beta receptor 3,gene with protein product,1p22.1,Candidate gene tested in,Not yet assessed,19299629[PMID]
19166,231160,Familial cerebral saccular aneurysm,THSD1,thrombospondin type 1 domain containing 1,gene with protein product,13q14.3,Disease-causing germline mutation(s) in,Assessed,27895300[PMID]
19167,231169,Usher syndrome type 1,USH1K,Usher syndrome 1K (autosomal recessive),Disorder-associated locus,10p11.21-q21.1,Disease-causing germline mutation(s) in,Assessed,20301442[PMID]
19167,231169,Usher syndrome type 1,CDH23,cadherin related 23,gene with protein product,10q22.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301442[PMID]
19167,231169,Usher syndrome type 1,USH1C,USH1 protein network component harmonin,gene with protein product,11p15.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301442[PMID]
